Kernel Name,Block Size,Grid Size,metric,Value
prefetch_kernel_load_128_prefetch_0(const float *, float *),(8, 1, 1),(1, 1, 1),gpu__time_duration.sum,63.680000
prefetch_kernel_load_128_prefetch_64(const float *, float *),(8, 1, 1),(1, 1, 1),gpu__time_duration.sum,282.880000
prefetch_kernel_load_128_prefetch_128(const float *, float *),(8, 1, 1),(1, 1, 1),gpu__time_duration.sum,603.872000
prefetch_kernel_load_128_prefetch_256(const float *, float *),(8, 1, 1),(1, 1, 1),gpu__time_duration.sum,718.912000
prefetch_kernel_load_128_prefetch_0(const float *, float *),(8, 1, 1),(1, 1, 1),dram__bytes_read.sum,3.840000
prefetch_kernel_load_128_prefetch_64(const float *, float *),(8, 1, 1),(1, 1, 1),dram__bytes_read.sum,3.584000
prefetch_kernel_load_128_prefetch_128(const float *, float *),(8, 1, 1),(1, 1, 1),dram__bytes_read.sum,3.328000
prefetch_kernel_load_128_prefetch_256(const float *, float *),(8, 1, 1),(1, 1, 1),dram__bytes_read.sum,3.584000
prefetch_kernel_load_128_prefetch_0(const float *, float *),(8, 1, 1),(1, 1, 1),dram__bytes_write.sum,0
prefetch_kernel_load_128_prefetch_64(const float *, float *),(8, 1, 1),(1, 1, 1),dram__bytes_write.sum,0
prefetch_kernel_load_128_prefetch_128(const float *, float *),(8, 1, 1),(1, 1, 1),dram__bytes_write.sum,0
prefetch_kernel_load_128_prefetch_256(const float *, float *),(8, 1, 1),(1, 1, 1),dram__bytes_write.sum,0
prefetch_kernel_load_128_prefetch_0(const float *, float *),(8, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_read.sum,12.000000
prefetch_kernel_load_128_prefetch_64(const float *, float *),(8, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_read.sum,12.000000
prefetch_kernel_load_128_prefetch_128(const float *, float *),(8, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_read.sum,12.000000
prefetch_kernel_load_128_prefetch_256(const float *, float *),(8, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_read.sum,12.000000
prefetch_kernel_load_128_prefetch_0(const float *, float *),(8, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_write.sum,4.000000
prefetch_kernel_load_128_prefetch_64(const float *, float *),(8, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_write.sum,4.000000
prefetch_kernel_load_128_prefetch_128(const float *, float *),(8, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_write.sum,4.000000
prefetch_kernel_load_128_prefetch_256(const float *, float *),(8, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_write.sum,4.000000
prefetch_kernel_load_128_prefetch_0(const float *, float *),(8, 1, 1),(1, 1, 1),lts__t_sector_hit_rate.pct,107.496864
prefetch_kernel_load_128_prefetch_64(const float *, float *),(8, 1, 1),(1, 1, 1),lts__t_sector_hit_rate.pct,113.793650
prefetch_kernel_load_128_prefetch_128(const float *, float *),(8, 1, 1),(1, 1, 1),lts__t_sector_hit_rate.pct,114.129904
prefetch_kernel_load_128_prefetch_256(const float *, float *),(8, 1, 1),(1, 1, 1),lts__t_sector_hit_rate.pct,111.272961
prefetch_kernel_load_128_prefetch_0(const float *, float *),(8, 1, 1),(1, 1, 1),sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active,0
prefetch_kernel_load_128_prefetch_64(const float *, float *),(8, 1, 1),(1, 1, 1),sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active,0
prefetch_kernel_load_128_prefetch_128(const float *, float *),(8, 1, 1),(1, 1, 1),sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active,0
prefetch_kernel_load_128_prefetch_256(const float *, float *),(8, 1, 1),(1, 1, 1),sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active,0
prefetch_kernel_load_128_prefetch_0(const float *, float *),(8, 1, 1),(1, 1, 1),smsp__inst_executed.sum,26.000000
prefetch_kernel_load_128_prefetch_64(const float *, float *),(8, 1, 1),(1, 1, 1),smsp__inst_executed.sum,26.000000
prefetch_kernel_load_128_prefetch_128(const float *, float *),(8, 1, 1),(1, 1, 1),smsp__inst_executed.sum,26.000000
prefetch_kernel_load_128_prefetch_256(const float *, float *),(8, 1, 1),(1, 1, 1),smsp__inst_executed.sum,26.000000
